Region,Sector,Subsector,Energético,Energia estimada
I,Transporte,Terrestre,Diesel,166.43364000000003
I,Transporte,Terrestre,Gasolina Aviacion,0.0
I,Transporte,Terrestre,Gasolina Motor,78.20322
I,Transporte,Terrestre,Kerosene,0.1
I,Transporte,Terrestre,Kerosene Aviacion,0.0
I,Transporte,Terrestre,Petróleo Combustible,0.0
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,460.14459999999997
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.40641000000000005
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,0.30067
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.0
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,17.26609
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,26.82021
I,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,0.1
I,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,9.588202
I,Industrial y Minero,"Todos, IM",Gas Licuado,1.572543
I,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,6.313544
I,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.290694
I,Transporte,Terrestre,Gas Licuado,0.235524
II,Transporte,Terrestre,Diesel,389.51452
II,Transporte,Terrestre,Gasolina Aviacion,0.0
II,Transporte,Terrestre,Gasolina Motor,156.08473999999998
II,Transporte,Terrestre,Kerosene,0.26579
II,Transporte,Terrestre,Kerosene Aviacion,0.0
II,Transporte,Terrestre,Petróleo Combustible,0.0
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,1775.17322
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.06439
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,1.34075
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.0
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,41.80372
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,51.428779999999996
II,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,0.26579
II,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,23.118911999999998
II,Industrial y Minero,"Todos, IM",Gas Licuado,13.471627
II,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,17.591746
II,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.293061
II,Transporte,Terrestre,Gas Licuado,0.784068
II,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,0.793143
II,Industrial y Minero,"Todos, IM",Gas Natural,0.0
II,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,0.9198569999999999
II,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
II,Transporte,"Todos, T",Gas Natural,0.0
II,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.0
III,Transporte,Terrestre,Diesel,241.90351
III,Transporte,Terrestre,Gasolina Aviacion,0.0
III,Transporte,Terrestre,Gasolina Motor,97.48190000000001
III,Transporte,Terrestre,Kerosene,0.21416
III,Transporte,Terrestre,Kerosene Aviacion,0.0
III,Transporte,Terrestre,Petróleo Combustible,0.0
III,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,413.8983
III,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.023850000000000003
III,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,0.32588
III,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.0
III,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.10371000000000001
III,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,48.62464
III,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,0.21416
III,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,8.147308
III,Industrial y Minero,"Todos, IM",Gas Licuado,3.558769
III,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,8.852558
III,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.171741
III,Transporte,Terrestre,Gas Licuado,0.30480999999999997
IV,Transporte,Terrestre,Diesel,296.43235999999996
IV,Transporte,Terrestre,Gasolina Aviacion,0.0
IV,Transporte,Terrestre,Gasolina Motor,243.67072
IV,Transporte,Terrestre,Kerosene,1.23493
IV,Transporte,Terrestre,Kerosene Aviacion,0.0
IV,Transporte,Terrestre,Petróleo Combustible,0.0
IV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,232.21529999999998
IV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.039990000000000005
IV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,1.62222
IV,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.15430000000000002
IV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.52911
IV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,2.0283
IV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,1.23493
IV,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,21.49924
IV,Industrial y Minero,"Todos, IM",Gas Licuado,5.299035
IV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,27.660131999999997
IV,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.41404799999999997
IV,Transporte,Terrestre,Gas Licuado,0.987193
IV,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,0.29663825000000005
IV,Industrial y Minero,"Todos, IM",Gas Natural,0.0
IV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,0.48721135000000004
IV,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
IV,Transporte,"Todos, T",Gas Natural,0.0
IV,Energético: Consumo Propio,"Todos, CP",Gas Natural,5e-06
V,Transporte,Terrestre,Diesel,471.27509
V,Transporte,Terrestre,Gasolina Aviacion,0.0
V,Transporte,Terrestre,Gasolina Motor,494.84589
V,Transporte,Terrestre,Kerosene,8.99374
V,Transporte,Terrestre,Kerosene Aviacion,0.0
V,Transporte,Terrestre,Petróleo Combustible,0.0
V,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,265.18998
