Region,Sector,Subsector,Energético,Energia estimada
IV,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,21.379796
IV,Industrial y Minero,"Todos, IM",Gas Licuado,5.657221
IV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,28.865425000000002
IV,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.396303
IV,Transporte,Terrestre,Gas Licuado,0.895671
IV,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,0.31672327
IV,Industrial y Minero,"Todos, IM",Gas Natural,0.0
IV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,0.5191497899999999
IV,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
IV,Transporte,"Todos, T",Gas Natural,0.0
IV,Energético: Consumo Propio,"Todos, CP",Gas Natural,5e-06
V,Transporte,Terrestre,Diesel,478.07623
V,Transporte,Terrestre,Gasolina Aviacion,0.0
V,Transporte,Terrestre,Gasolina Motor,545.25111
V,Transporte,Terrestre,Kerosene,7.873810000000001
V,Transporte,Terrestre,Kerosene Aviacion,0.005
V,Transporte,Terrestre,Petróleo Combustible,0.0
V,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,270.35479
V,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.06875
V,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,9.669559999999999
V,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.60122
V,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,2.12747
V,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,2.5482600000000004
V,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,7.84501
V,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,42.962175
V,Industrial y Minero,"Todos, IM",Gas Licuado,16.164157
V,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,89.817126
V,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,2.233277
V,Transporte,Terrestre,Gas Licuado,2.295754
V,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,10.683927740000001
V,Industrial y Minero,"Todos, IM",Gas Natural,124.036268573
V,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,27.28675987
V,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
V,Transporte,"Todos, T",Gas Natural,0.0
V,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.00704
VI,Transporte,Terrestre,Diesel,313.45149
VI,Transporte,Terrestre,Gasolina Aviacion,0.0
VI,Transporte,Terrestre,Gasolina Motor,284.1078
VI,Transporte,Terrestre,Kerosene,12.14217
VI,Transporte,Terrestre,Kerosene Aviacion,0.0
VI,Transporte,Terrestre,Petróleo Combustible,0.0
VI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,131.98846
VI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.12104000000000001
VI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,4.07721
VI,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,1.10995
VI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,1.34924
VI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,5.550020000000001
VI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,12.14217
VI,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,20.154704000000002
VI,Industrial y Minero,"Todos, IM",Gas Licuado,43.535767
VI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,50.485033
VI,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,1.004
VI,Transporte,Terrestre,Gas Licuado,1.871237
VI,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,0.630934
VI,Industrial y Minero,"Todos, IM",Gas Natural,66.59645800499999
VI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,1.908938
VI,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
VI,Transporte,"Todos, T",Gas Natural,0.0
VI,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.0
VII,Transporte,Terrestre,Diesel,442.04806
VII,Transporte,Terrestre,Gasolina Aviacion,0.0
VII,Transporte,Terrestre,Gasolina Motor,330.94354
VII,Transporte,Terrestre,Kerosene,9.88834
VII,Transporte,Terrestre,Kerosene Aviacion,0.05
VII,Transporte,Terrestre,Petróleo Combustible,0.0
VII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,122.72798
