año,tcal_nacional,tcal_regional,diferencia tcal
2014,272092.958716185,274382.18705666193,-2289.228340476926
2015,275160.28864093596,272331.1036598434,2829.184981092578
2016,280241.2160816,282300.5557051245,-2059.3396235245164
2017,287224.0591651,288901.29566567397,-1677.2365005739848
2018,298734.53845196497,300825.41584122874,-2090.877389263769
2019,299574.725421304,301597.2175373649,-2022.4921160609229
2020,281469.27398789197,283235.41339456965,-1766.1394066776847
2021,291460.96663426096,293142.6247973346,-1681.6581630736473
