Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Categoría INGEI
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Diésel,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Electricidad,Gwh,,0.0,,,,,,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Coque,Mil m3,,148.174,,,,0.06305121074483296,0.0630189356264,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Altos Hornos,Mil m3,,289.76,,,,0.2837510599500288,0.28369126656,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Natural,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Carbón,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Diésel,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Petróleo Combustible,Mil ton,,57.292767,,,,0.01768388945329277,0.017626092267021838,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
