Categoría INGEI,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Industria de la energía,32.01568608323797,32.00637370605206,33.84234645703584,33.63349825436454
Industrias manufactureras y de la construcción,0,0.0,15.378395825833943,14.845143105700698
Metanol,0,0.0,0.23949564875308796,0.23926193121599998
Otros sectores,5.106284074694379,5.092910530986414,7.839050062576401,7.18347033396693
Transporte,29.09030528658921,28.354003052788112,30.101855322872954,29.351052574476313
