nombre_region,cod_region,Categoría INGEI,BNE Tcal,SEC Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt)
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industria de la energía,282.96104958399997,0.0,0.0571858732554446,0.056990674427244405,0,0.0
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industrias manufactureras y de la construcción,333.83868472119997,500.51587236607753,0.07829170792407725,0.07802390000678394,0.14802219638855713,0.14751693595205734
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Otros sectores,1159.6756327856433,440.7194998439225,0.10495478650583691,0.08247753327029803,0.12999004166131942,0.12954514442796608
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Transporte,795.1510158885939,434.4622716,0.23563727747870125,0.23027491556424792,0.1302258048634155,0.12804897233374188
Región Metropolitana de Santiago,13,Industria de la energía,10134.712299407265,0.0,1.6728987305981455,1.6706634676284198,0,0.0
Región Metropolitana de Santiago,13,Industrias manufactureras y de la construcción,16975.77674833837,11595.558086930743,1.876233508122481,1.8617491441947092,3.0360426073080147,3.026387600761105
Región Metropolitana de Santiago,13,Otros sectores,23915.41511531947,3903.1595053695114,1.2869907128563136,1.2561226507067809,0.8753995807982156,0.8728499888350018
Región Metropolitana de Santiago,13,Transporte,36097.469102498755,12412.624326840001,10.336381658557515,10.076193944729521,3.7132432242596423,3.6527225967449994
Región de Antofagasta,2,Industria de la energía,49320.04932287757,0.0,14.102578778209319,14.099923641240517,0,0.0
Región de Antofagasta,2,Industrias manufactureras y de la construcción,31694.411227143926,16586.658705788293,4.897487163275068,4.8812065179542525,4.901969632908085,4.884695482186287
Región de Antofagasta,2,Otros sectores,1651.2733118143315,61.07539394170715,0.09340706112993619,0.09188923199513448,0.016701155360009542,0.01664632028396199
Región de Antofagasta,2,Transporte,5821.571573157784,3566.39494512,1.7198889467201877,1.683392637249868,1.0689919068891331,1.0511228189666992
Región de Arica y Parinacota,15,Industria de la energía,11.6739,0.0,0.003450121732869336,0.003438345053052,0,0.0
Región de Arica y Parinacota,15,Industrias manufactureras y de la construcción,371.7826850251631,478.5227094657723,0.060826615680842945,0.06061515651396892,0.14105447286724643,0.14049819581734072
Región de Arica y Parinacota,15,Otros sectores,515.6439006960103,107.74369865422769,0.03134543139057491,0.02974903558522464,0.031861839387157406,0.03175307434848883
Región de Arica y Parinacota,15,Transporte,1135.167917867361,549.67835412,0.3316523144706559,0.3237235868927505,0.16476069560115633,0.1620065836786198
Región de Atacama,3,Industria de la energía,14821.559874981225,0.0,3.8658092241516684,3.8657344550460087,0,0.0
Región de Atacama,3,Industrias manufactureras y de la construcción,7105.256000485177,3789.011074013067,1.2580075351598812,1.2520714042157597,1.1205593514240608,1.1167344229955014
Región de Atacama,3,Otros sectores,609.7629459626515,2.5672733469329994,0.032431117335144415,0.031755982726280316,0.0007423945053582916,0.0007398028959338919
Región de Atacama,3,Transporte,2964.9828883724535,2214.8685375600003,0.8786074767203019,0.8584245466366478,0.6638851215047761,0.6527877300931918
Región de Coquimbo,4,Industria de la energía,2066.779210378392,0.0,0.012428556171818716,0.01238613241464144,0,0.0
Región de Coquimbo,4,Industrias manufactureras y de la construcción,4019.607925850845,2119.1140096010677,0.5032453477608514,0.5007382441134969,0.6266930808426271,0.6245538790138774
Región de Coquimbo,4,Otros sectores,1441.0460566495221,26.861783242532155,0.03510904936633418,0.033834733216154475,0.007233607936354565,0.007209611943724338
Región de Coquimbo,4,Transporte,4867.659117711177,2714.13468816,1.431736550782757,1.3934179291746784,0.8135352535254554,0.7999363358165736
Región de La Araucanía,9,Industria de la energía,2772.043311227644,0.0,0.052076695688644224,0.0019577019840063942,0,0.0
Región de La Araucanía,9,Industrias manufactureras y de la construcción,1572.9223057525967,670.5016578000001,0.10059343559386157,0.09947109725680292,0.19829170081853076,0.19761484324218193
Región de La Araucanía,9,Otros sectores,4956.139309672521,163.13679745869,0.21323041394009548,0.10737360437801055,0.04045256546901224,0.040324048463769
Región de La Araucanía,9,Transporte,4844.035644004127,3225.8020136699997,1.4237545145255497,1.3844225936158179,0.9660117848902832,0.9500526445678764
Región de Los Lagos,10,Industria de la energía,1746.2113117027077,0.0,0.16525754481652777,0.16469345307038386,0,0.0
Región de Los Lagos,10,Industrias manufactureras y de la construcción,2897.2716083222535,1301.7262875222827,0.49437576987615167,0.468369552702095,0.3834092797120269,0.38211012339340167
Región de Los Lagos,10,Otros sectores,8602.192327515335,2117.339794559229,0.5171751478886036,0.330553426736203,0.6209859982873096,0.6188700999116759
Región de Los Lagos,10,Transporte,6758.203877155171,3514.75824339,1.9855783849478037,1.9375546033434887,1.0522620412845591,1.0349376866636906
Región de Los Ríos,14,Industria de la energía,520.3452139890001,0.0,0.042064425362708886,0.0419208422350536,0,0.0
Región de Los Ríos,14,Industrias manufactureras y de la construcción,2873.2571619951495,649.0823354927054,0.09674905378329633,0.04370792516499842,0.19195748539674382,0.19130198989698097
Región de Los Ríos,14,Otros sectores,3271.422659590003,36.55506111729466,0.15374267667408756,0.07763483602434325,0.010504747310119002,0.010467845730856214
Región de Los Ríos,14,Transporte,2225.528109368598,1338.48276996,0.6510874481298268,0.6340241327018944,0.401197082941033,0.39449074035499804
Región de Magallanes y de la Antártica Chilena,12,Industria de la energía,3241.90906902479,0.0,0.6878397447802391,0.6871361574889692,0,0.0
