nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Gas Natural,558.1661506197399,0.11802786893403537,0.11791268862500418
Región del Maule,7,Industrial y Minero,Industrias Varias,Gas Natural,91.766507096,0.019404625773230953,0.019385689306671137
Región del Biobío,8,Industrial y Minero,Industrias Varias,Gas Natural,232.765277788,0.04921973442612556,0.04917170217515945
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Gas Natural,39.00167813149999,0.0082471589321585,0.008239110745547876
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Gas Natural,78.75152009937798,0.016652521981716743,0.016636271221236818
Región de Magallanes y de la Antártica Chilena,12,Industrial y Minero,Industrias Varias,Gas Natural,84.405276,0.01784804550044451,0.017830628059844162
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Gas Natural,1944.5638529935095,0.41119069531563224,0.4107894250750954
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Gas Natural,0.00011209199999839825,2.370258366559026e-08,2.3679452934381633e-08
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Gas Natural,11.474703820090001,0.0024264008790764544,0.002424033017946624
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Biomasa,18.85947,0.0006515751048263521,0.0
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Biomasa,50.920695,0.001759257136200312,0.0
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Biomasa,70.264187,0.0024275546985182196,0.0
Región del Maule,7,Industrial y Minero,Industrias Varias,Biomasa,31.391335499999997,0.0010845380447622166,0.0
Región del Biobío,8,Industrial y Minero,Industrias Varias,Biomasa,1490.6022635,0.05149876036253458,0.0
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Biomasa,1.7971975,6.2091307415116e-05,0.0
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Biomasa,145.4932115,0.0050266393771741785,0.0
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Biomasa,3.9655,0.00013700390722480002,0.0
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Biomasa,375.842012,0.012984951240254741,0.0
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Biomasa,1139.5258290714514,0.03936943411079774,0.0
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Carbón,7.049,0.0028240270652384,0.0026505373479200002
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Carbón,45.563,0.018253815459420803,0.017132420653040003
Región del Maule,7,Industrial y Minero,Industrias Varias,Carbón,34.846,0.013960284737593597,0.013102656323679998
