nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,SEC Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt)
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Petróleo Combustible,55.7473665,,,,,
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Petróleo Combustible,2.3263905,,,,,
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Petróleo Combustible,16.107378,,,,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Petróleo Combustible,5.275074,,,,,
Región del Maule,7,Industrial y Minero,Industrias Varias,Petróleo Combustible,50.049336907500006,,,,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Petróleo Combustible,207.222106875,,,,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Petróleo Combustible,0.3949155,,,,,
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Petróleo Combustible,27.791988,,,,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Petróleo Combustible,31.554506634,,,,,
Región de Arica y Parinacota,15,Industrial y Minero,Industrias Varias,Petróleo Combustible,10.8201135,,,,,
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Petróleo Combustible,3.90096,,,,,
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Gas Natural,839.75075,0.0,0.17757076696286617,0.17739748029762,0.0,0.0
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Gas Natural,5.8097207937899915,0.0,0.0012285033114806988,0.0012273044472434628,0.0,0.0
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Gas Natural,607.451815405,602.5939033185507,0.1284496438430704,0.12832429319659672,0.12750767980478403,0.1273832483963683
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Gas Natural,558.1661506197399,368.01459976638256,0.11802786893403537,0.11791268862500418,0.07787116247289967,0.07779517004298246
Región del Maule,7,Industrial y Minero,Industrias Varias,Gas Natural,91.766507096,30.1678355832,0.019404625773230953,0.019385689306671137,0.006383454427205814,0.006377224981056761
Región del Biobío,8,Industrial y Minero,Industrias Varias,Gas Natural,232.765277788,0.0,0.04921973442612556,0.04917170217515945,0.0,0.0
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Gas Natural,39.00167813149999,0.0,0.0082471589321585,0.008239110745547876,0.0,0.0
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Gas Natural,78.75152009937798,11.094475665199788,0.016652521981716743,0.016636271221236818,0.002347569138900569,0.0023452782076033023
Región de Magallanes y de la Antártica Chilena,12,Industrial y Minero,Industrias Varias,Gas Natural,84.405276,84.409769021,0.01784804550044451,0.017830628059844162,0.01786094041352395,0.01784351038911533
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Gas Natural,1944.5638529935095,2056.2594090006737,0.41119069531563224,0.4107894250750954,0.43510042978285957,0.43467582665806703
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Gas Natural,0.00011209199999839825,,2.370258366559026e-08,2.3679452934381633e-08,,
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Gas Natural,11.474703820090001,0.0,0.0024264008790764544,0.002424033017946624,0.0,0.0
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Biomasa,18.85947,,0.0006515751048263521,0.0,,
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Biomasa,50.920695,,0.001759257136200312,0.0,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Biomasa,70.264187,,0.0024275546985182196,0.0,,
Región del Maule,7,Industrial y Minero,Industrias Varias,Biomasa,31.391335499999997,,0.0010845380447622166,0.0,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Biomasa,1490.6022635,,0.05149876036253458,0.0,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Biomasa,1.7971975,,6.2091307415116e-05,0.0,,
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Biomasa,145.4932115,,0.0050266393771741785,0.0,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Biomasa,3.9655,,0.00013700390722480002,0.0,,
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Biomasa,375.842012,,0.012984951240254741,0.0,,
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Biomasa,1139.5258290714514,,0.03936943411079774,0.0,,
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Carbón,7.049,,0.0028240270652384,0.0026505373479200002,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Carbón,45.563,,0.018253815459420803,0.017132420653040003,,
Región del Maule,7,Industrial y Minero,Industrias Varias,Carbón,34.846,,0.013960284737593597,0.013102656323679998,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Carbón,43.0108,,0.017231332571649282,0.016172752413664,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Carbón,7.532,,0.0030175304093312,0.00283215311456,,
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Carbón,820.842239,,0.3288524186731291,0.3086498810072031,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Carbón,2.344811,,0.0009393970388521376,0.00088168664056088,,
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Carbón,8.19812,,0.0032843967604017916,0.0030826249457695997,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Coque Mineral,9.410037,,0.004028192513735317,0.0040021226122332,,
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Coque de Petróleo,58.611654675000004,,0.022773664173463083,0.02271453648771353,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Coque de Petróleo,30.598953416999997,,0.01188927855803106,0.011858410204084428,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Gasolina Aviacion,0.5198810531506348,3.2516106000000002,0.00014517408291513404,0.00014464962470442003,0.0009086030105437579,0.0009053205767953201
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Kerosene,0.3410889946749,0.224775,9.782327456487506e-05,9.747918254082968e-05,6.45079195112967e-05,6.428101379085e-05
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Kerosene,26.1348040297053,93.37626653594185,0.007495381411334638,0.007469016510217902,0.026797947663067177,0.026703686250405798
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Kerosene,2.113838046,1.456542,0.0006062422499342917,0.0006041098011508136,0.0004180113184332026,0.00041654096936470794
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Kerosene Aviacion,1.5734969570846555,2.7353933681051017,0.00045099076618544106,0.00044718500290893634,0.0007845345458961293,0.0007779141159720872
Región del Biobío,8,Industrial y Minero,Industrias Varias,Kerosene Aviacion,1.10250339533226,5.944578046134915,0.00031599606770399077,0.00031332948044731675,0.0017049565493387428,0.0016905689797696542
Región de Magallanes y de la Antártica Chilena,12,Industrial y Minero,Industrias Varias,Kerosene Aviacion,2.85778935,34.33995567,0.0008190906266136191,0.00081217858924917,0.009848997165010864,0.009765884705662673
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Kerosene Aviacion,289.2748824587782,1123.7438453045806,0.0829110601649984,0.08221140089999633,0.32229948264820285,0.3195797029385787
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Kerosene Aviacion,0.06530163300000001,0.15990328271599047,1.8716549382081855e-05,1.85586065556606e-05,4.586164854958069e-05,4.5474637127315355e-05
Región de Arica y Parinacota,15,Industrial y Minero,Industrias Varias,Kerosene Aviacion,2.4545430000000006,51.89820984,0.0007035134216313295,0.0006975767024226001,0.014884856768462415,0.014759248340279755
Región de Antofagasta,2,Industrial y Minero,Cobre,Carbón,18.62892192,,0.007463268505928911,0.007004774194984473,,
Región de Atacama,3,Industrial y Minero,Cobre,Coque Mineral,0.189,,8.09059927284e-05,8.03823804e-05,,
Región de Atacama,3,Industrial y Minero,Cobre,Coque de Petróleo,12.330787,,0.004791149536549137,0.004778710186341,,
Región de Antofagasta,2,Industrial y Minero,Cobre,Kerosene,110.10153824999999,0.0,0.03157678252419271,0.03146571162557559,0.0,0.0
Región de Coquimbo,4,Industrial y Minero,Cobre,Kerosene,1.38776085,1.3873113,0.000398005543360688,0.000396605564331102,0.00039814287922372316,0.0003967424171171261
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Cobre,Kerosene,10.2119778,11.46100752,0.0029287638234471616,0.002918461936943736,0.003289181406377605,0.0032776117559788925
Región Metropolitana de Santiago,13,Industrial y Minero,Cobre,Kerosene Aviacion,0.053946,0.20956359903608118,1.54618334424468e-05,1.5331356097200002e-05,6.01046580441272e-05,5.959745453247668e-05
Región de Los Ríos,14,Industrial y Minero,Cobre,Kerosene Aviacion,0.010042947,0.024592037284009542,2.8784779925355127e-06,2.8541874600954004e-06,7.053209614468072e-06,6.993689890019445e-06
Región del Maule,7,Industrial y Minero,Agroindustria,Carbón,61.379142,,0.02459020545454831,0.02307954436860336,,
Región de Los Lagos,10,Industrial y Minero,Agroindustria,Carbón,12.5685,,0.0050352935408496,0.00472595810148,,
Región Metropolitana de Santiago,13,Industrial y Minero,Agroindustria,Kerosene,0.0314685,0.112432870747622,9.025069010446442e-06,8.993323454220002e-06,3.226698065448393e-05,3.2153481993427845e-05
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Kerosene Aviacion,0.638361,4.846328819999999,0.0001829650290689538,0.0001814210471502,0.0013899691446191793,0.0013782396505303996
Región de Ñuble,16,Industrial y Minero,Azúcar,Carbón,370.41312,,0.14839788284854577,0.13928128936296957,,
Región de Ñuble,16,Industrial y Minero,Azúcar,Coque Mineral,19.40211,,0.008305539526855114,0.008251787230595999,,
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Carbón,4.151,,0.0016630070006816,0.0015608427480799999,,
Región de Atacama,3,Industrial y Minero,Cemento,Coque de Petróleo,307.419,,0.11944820710765655,0.11913808151699999,,
Región de Valparaíso,5,Industrial y Minero,Cemento,Coque de Petróleo,379.8625417460002,,0.1475962759586007,0.14721306901587017,,
Región del Maule,7,Industrial y Minero,Cemento,Coque de Petróleo,306.67,,0.11915718180628082,0.11884781181000002,,
Región del Biobío,8,Industrial y Minero,Cemento,Coque de Petróleo,257.569061112,,0.10007892341147043,0.09981908665052781,,
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Coque de Petróleo,442.323,,0.17186539970684953,0.171419182389,,
Región de Valparaíso,5,Industrial y Minero,Construcción,Kerosene,0.62937,4.41467091,0.00018050138020892878,0.00017986646908439997,0.0012669613423696715,0.00126250482325781
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Kerosene,1.008862128,3.6045335888140473,0.0002893385552926211,0.00028832081090031934,0.0010344609615080948,0.0010308222592910147
Región del Biobío,8,Industrial y Minero,Construcción,Kerosene Aviacion,1.9780200000000003,10.665268076813629,0.0005669338928897161,0.000562149723564,0.0030588913993382064,0.0030330784172834238
