año,combustible,tcal_nacional,tcal_regional,diferencia tcal
2014,alquitran,155.099,155.099,0.0
2014,biogas,19.75275635,19.75275635,0.0
2014,biomasa,40175.34826,40175.3482629006,-2.900604158639908e-06
2014,carbon,2353.2993899999997,2353.29939,-4.547473508864641e-13
2014,coque mineral,75.662426,75.662426,0.0
2014,d.i. de petroleo,3830.581171,6119.809512355846,-2289.228341355846
2014,electricidad,59819.5865382,59819.58654222614,-4.0261438698507845e-06
2014,gas coque,823.0179999999999,823.018,-1.1368683772161603e-13
2014,gas corriente,107.26270758300001,107.2627075650909,1.790910175714089e-08
2014,gas licuado,15972.021451,15972.021453045902,-2.045901055680588e-06
2014,gas natural,17533.5184409,17533.518440563126,3.3687319955788553e-07
2014,gas de altos hornos,625.448,625.448,0.0
2014,gas de refineria,1.551175792,1.5511757923268452,-3.268452175575476e-10
2014,gasolina de aviacion,48.73386000000001,48.73386,7.105427357601002e-15
2014,gasolina de motor,34321.20976,34321.2097552968,4.703200829681009e-06
2014,kerosene,1085.9311260299999,1085.9311260647912,-3.479135557427071e-08
2014,kerosene de aviacion,11152.7701732,11152.770172892999,3.0700175557285547e-07
2014,nafta,299.5107995,299.5107995,0.0
2014,petroleo combustible,12257.437889330002,12257.437889654999,-3.2499701774213463e-07
2014,petroleo diesel,71435.2157913,71435.21578645332,4.846675437875092e-06
2015,alquitran,195.451,195.451,0.0
2015,biogas,163.8922824,163.8922824,0.0
2015,biomasa,37263.89061,37263.89060781861,2.1813903003931046e-06
2015,carbon,2703.55477255,2703.554772679303,-1.293028617510572e-07
2015,coque mineral,90.0293355,90.0293355,0.0
2015,coque de petroleo,2126.463976,2126.463976,0.0
2015,d.i. de petroleo,671.5641343,2283.0434613225443,-1611.4793270225443
2015,electricidad,60467.543944699995,60467.54394631182,-1.6118210623972118e-06
2015,gas coque,816.043,816.043,0.0
2015,gas corriente,79.492015595,79.492015594932,6.799893981224159e-11
2015,gas licuado,14011.6020772,14011.602080686715,-3.4867152862716466e-06
2015,gas natural,17618.08871,17618.088709190695,8.093047654256225e-07
2015,gas de altos hornos,703.47,703.47,0.0
2015,gas de refineria,1.476128321,1.4761283207119327,2.880673477534401e-10
2015,gasolina de aviacion,70.502242069,70.50224206525748,3.742528065231454e-09
2015,gasolina de motor,34498.18077,34498.180772627136,-2.6271372917108238e-06
2015,kerosene,1592.0036049569999,1592.0036045371155,4.198843726044288e-07
2015,kerosene de aviacion,11760.5065993,11760.506594440705,4.859295586356893e-06
2015,nafta,1344.096193,1344.09619255,4.500000159168849e-07
2015,petroleo combustible,9405.832748499999,9405.832748771823,-2.7182431949768215e-07
2015,petroleo diesel,79576.604496544,75135.94018902602,4440.6643075179745
2016,alquitran,171.75,171.75,0.0
2016,biogas,48.9934984,48.99349840000001,-7.105427357601002e-15
2016,biomasa,37091.418416500004,37091.418423654664,-7.154660124797374e-06
2016,carbon,2376.00895,2376.0089500000004,-4.547473508864641e-13
2016,coque mineral,88.49970564,88.49970564067002,-6.700133781123441e-10
2016,coque de petroleo,2231.79291,2231.79291,0.0
2016,d.i. de petroleo,746.144721,2794.73779937998,-2048.59307837998
2016,electricidad,61701.539629499995,61701.539627336104,2.1638916223309934e-06
2016,gas coque,856.133,856.133,0.0
2016,gas corriente,48.275418323000004,48.275418320840004,2.1600001787192014e-09
2016,gas licuado,14845.5796148,14845.579609998502,4.801499017048627e-06
2016,gas natural,17517.845292600003,17517.84529349551,-8.955066732596606e-07
2016,gas de altos hornos,633.605,633.605,0.0
2016,gas de refineria,1.494439737,1.494439737,0.0
2016,gasolina de aviacion,65.84191865999999,65.84191866,-1.4210854715202004e-14
2016,gasolina de motor,36838.12941,36838.12940806847,1.9315339159220457e-06
2016,kerosene,1121.57636993,1132.3229076359999,-10.746537705999799
2016,kerosene de aviacion,11413.790641689999,11413.790645139,-3.4490021789679304e-06
2016,nafta,0.0129444,0.0129444,0.0
2016,petroleo combustible,8764.8471836,8764.847183628795,-2.8794602258130908e-08
2016,petroleo diesel,83677.93701682,83677.93702162897,-4.8089714255183935e-06
2017,alquitran,156.706,156.706,0.0
2017,biogas,92.8295256,92.82952560000001,-1.4210854715202004e-14
2017,biomasa,37693.30214,37693.30214328672,-3.2867174013517797e-06
2017,carbon,2288.143375,2288.143375,0.0
2017,coque mineral,95.066356,95.06635600000001,-1.4210854715202004e-14
2017,coque de petroleo,2039.163844,2039.1638435142856,4.857142812397797e-07
2017,d.i. de petroleo,637.5842645,2314.8207463004,-1677.2364818004
2017,electricidad,61910.1848968,61910.184898276275,-1.4762772480025887e-06
2017,gas coque,790.24,790.24,0.0
2017,gas corriente,14.256510096,14.2565100964,-4.000000330961484e-10
2017,gas licuado,16012.5875537,16012.58755662381,-2.923810825450346e-06
2017,gas natural,18199.2475715,18199.247571332915,1.670850906521082e-07
2017,gas de altos hornos,615.971,615.971,0.0
2017,gas de refineria,1.550700042,1.5507000421487653,-1.4876544440767248e-10
2017,gasolina de aviacion,73.04642226,73.04642226,0.0
2017,gasolina de motor,37064.22343,37064.22343453186,-4.5318593038246036e-06
2017,kerosene,1483.4976677,1483.4976675557693,1.4423062566493172e-07
2017,kerosene de aviacion,12040.5782148,12040.578214155004,6.449954526033252e-07
2017,nafta,0.02704455,0.027044550000000004,-3.469446951953614e-18
2017,petroleo combustible,8970.050622,8970.050622456,-4.5599881559610367e-07
2017,petroleo diesel,87045.802026552,87045.80203409238,-7.54038046579808e-06
2018,alquitran,165.46,165.46,0.0
2018,biogas,86.3229808,86.32298080000001,-1.4210854715202004e-14
