Region,Año,variable,factor,pib,valor_salitre,demanda,demanda_regional
I,2017,cemento,0.0,3685.15331023978,,3995.38,0.0
I,2018,cemento,6.558571625666906e-06,3873.048557638192,,3992.8,0.026187064786962824
I,2019,cemento,9.968543369122421e-05,3982.363226232852,,4081.9,0.4069059717842081
I,2020,cemento,8.16191034557986e-05,3826.67799295536,,3796.98,0.3099061034395981
I,2021,cemento,8.385031728328208e-05,4205.896028428675,,4388.2,0.3679519623024984
I,2022,cemento,8.385031728328208e-05,4307.460411433055,,3802.114,0.31880846524720874
I,2023,cemento,8.385031728328208e-05,4339.595791887393,,3802.114,0.31880846524720874
I,2024,cemento,8.385031728328208e-05,4435.015242766268,,3802.114,0.31880846524720874
I,2025,cemento,8.385031728328208e-05,4540.737563934552,,3802.114,0.31880846524720874
I,2026,cemento,8.385031728328208e-05,4650.092584696215,,3802.114,0.31880846524720874
I,2027,cemento,8.385031728328208e-05,4838.46298670476,,3802.114,0.31880846524720874
I,2028,cemento,8.385031728328208e-05,4946.13377027657,,3802.114,0.31880846524720874
I,2029,cemento,8.385031728328208e-05,5060.821437418031,,3802.114,0.31880846524720874
I,2030,cemento,8.385031728328208e-05,5178.226866681393,,3802.114,0.31880846524720874
I,2031,cemento,8.385031728328208e-05,5300.107405534644,,3802.114,0.31880846524720874
I,2032,cemento,8.385031728328208e-05,5425.256046655686,,3802.114,0.31880846524720874
I,2033,cemento,8.385031728328208e-05,5553.082824801145,,3802.114,0.31880846524720874
I,2034,cemento,8.385031728328208e-05,5683.089231127772,,3802.114,0.31880846524720874
I,2035,cemento,8.385031728328208e-05,5814.799775893259,,3802.114,0.31880846524720874
I,2036,cemento,8.385031728328208e-05,5946.49392212593,,3802.114,0.31880846524720874
I,2037,cemento,8.385031728328208e-05,6081.170690085983,,3802.114,0.31880846524720874
I,2038,cemento,8.385031728328208e-05,6218.897630478009,,3802.114,0.31880846524720874
I,2039,cemento,8.385031728328208e-05,6359.743823901475,,3802.114,0.31880846524720874
I,2040,cemento,8.385031728328208e-05,6503.779915499925,,3802.114,0.31880846524720874
I,2041,cemento,8.385031728328208e-05,6647.826260437182,,3802.114,0.31880846524720874
I,2042,cemento,8.385031728328208e-05,6791.739044586915,,3802.114,0.31880846524720874
I,2043,cemento,8.385031728328208e-05,6935.371397047769,,3802.114,0.31880846524720874
I,2044,cemento,8.385031728328208e-05,7078.57361465503,,3802.114,0.31880846524720874
I,2045,cemento,8.385031728328208e-05,7224.732685465043,,3802.114,0.31880846524720874
I,2046,cemento,8.385031728328208e-05,7370.29729652523,,3802.114,0.31880846524720874
I,2047,cemento,8.385031728328208e-05,7515.109608762274,,3802.114,0.31880846524720874
I,2048,cemento,8.385031728328208e-05,7662.767207279063,,3802.114,0.31880846524720874
I,2049,cemento,8.385031728328208e-05,7809.494612931245,,3802.114,0.31880846524720874
I,2050,cemento,8.385031728328208e-05,7959.031569100499,,3802.114,0.31880846524720874
I,2017,energia_comercial,0.01960275174449057,3685.15331023978,,,
I,2018,energia_comercial,0.01382312585391916,3873.048557638192,,,
I,2019,energia_comercial,0.0112147446922302,3982.363226232852,,,
I,2020,energia_comercial,0.006822862182646662,3826.67799295536,,,
I,2021,energia_comercial,0.01145851629972136,4205.896028428675,,,
I,2022,energia_comercial,0.01145851629972136,4307.460411433055,,,
I,2023,energia_comercial,0.01145851629972136,4339.595791887393,,,
I,2024,energia_comercial,0.01145851629972136,4435.015242766268,,,
I,2025,energia_comercial,0.01145851629972136,4540.737563934552,,,
I,2026,energia_comercial,0.01145851629972136,4650.092584696215,,,
I,2027,energia_comercial,0.01145851629972136,4838.46298670476,,,
I,2028,energia_comercial,0.01145851629972136,4946.13377027657,,,
I,2029,energia_comercial,0.01145851629972136,5060.821437418031,,,
I,2030,energia_comercial,0.01145851629972136,5178.226866681393,,,
I,2031,energia_comercial,0.01145851629972136,5300.107405534644,,,
I,2032,energia_comercial,0.01145851629972136,5425.256046655686,,,
I,2033,energia_comercial,0.01145851629972136,5553.082824801145,,,
I,2034,energia_comercial,0.01145851629972136,5683.089231127772,,,
I,2035,energia_comercial,0.01145851629972136,5814.799775893259,,,
I,2036,energia_comercial,0.01145851629972136,5946.49392212593,,,
I,2037,energia_comercial,0.01145851629972136,6081.170690085983,,,
I,2038,energia_comercial,0.01145851629972136,6218.897630478009,,,
I,2039,energia_comercial,0.01145851629972136,6359.743823901475,,,
I,2040,energia_comercial,0.01145851629972136,6503.779915499925,,,
I,2041,energia_comercial,0.01145851629972136,6647.826260437182,,,
I,2042,energia_comercial,0.01145851629972136,6791.739044586915,,,
I,2043,energia_comercial,0.01145851629972136,6935.371397047769,,,
I,2044,energia_comercial,0.01145851629972136,7078.57361465503,,,
I,2045,energia_comercial,0.01145851629972136,7224.732685465043,,,
I,2046,energia_comercial,0.01145851629972136,7370.29729652523,,,
I,2047,energia_comercial,0.01145851629972136,7515.109608762274,,,
I,2048,energia_comercial,0.01145851629972136,7662.767207279063,,,
I,2049,energia_comercial,0.01145851629972136,7809.494612931245,,,
I,2050,energia_comercial,0.01145851629972136,7959.031569100499,,,
I,2017,energia_publico,0.01055746399473258,3685.15331023978,,2997.35997009,31.644519963477897
I,2018,energia_publico,0.009204415380276429,3873.048557638192,,2529.724446609,23.284634604229158
I,2019,energia_publico,0.009329926526330684,3982.363226232852,,2902.519092445,27.08028987378387
I,2020,energia_publico,0.01223627481142601,3826.67799295536,,2803.835251566,34.30849866412535
I,2021,energia_publico,0.01245058488161004,4205.896028428675,,2881.986959141,35.882423262478234
I,2022,energia_publico,0.01245058488161004,4307.460411433055,,,
I,2023,energia_publico,0.01245058488161004,4339.595791887393,,,
I,2024,energia_publico,0.01245058488161004,4435.015242766268,,,
I,2025,energia_publico,0.01245058488161004,4540.737563934552,,,
